row_index,sqli_type,db_engine,confidence,reasoning
37200,error_based,oracle,0.95,Oracle xmltype extraction
37201,error_based,oracle,0.95,Oracle xmltype extraction
37202,error_based,oracle,0.80,Simple Oracle WHERE injection
37203,error_based,postgresql,0.85,PostgreSQL cast extraction
37204,error_based,oracle,0.95,Oracle ctxsys with cast mix
37205,error_based,oracle,0.95,Oracle xmltype extraction
37206,error_based,oracle,0.95,Oracle xmltype extraction
37207,error_based,oracle,0.85,Oracle WHERE clause injection
37208,error_based,oracle,0.95,Oracle ctxsys.drithsx.sn extraction
37209,error_based,postgresql,0.85,PostgreSQL cast extraction
37210,error_based,oracle,0.95,Oracle xmltype extraction
37211,error_based,oracle,0.95,Oracle xmltype extraction
37212,error_based,oracle,0.95,Oracle xmltype extraction
37213,error_based,oracle,0.95,Oracle xmltype extraction
37214,error_based,oracle,0.95,Oracle xmltype extraction
37215,error_based,postgresql,0.85,PostgreSQL cast extraction
37216,error_based,oracle,0.95,Oracle xmltype extraction
37217,error_based,oracle,0.95,Oracle xmltype extraction
37218,error_based,oracle,0.95,Oracle xmltype extraction
37219,error_based,oracle,0.95,Oracle xmltype extraction
37220,error_based,oracle,0.95,Oracle xmltype extraction
37221,error_based,oracle,0.80,Oracle WHERE clause injection
37222,error_based,oracle,0.85,Oracle WHERE clause injection
37223,error_based,oracle,0.80,Simple Oracle WHERE injection
37224,error_based,oracle,0.95,Oracle xmltype extraction
37225,error_based,oracle,0.85,Oracle WHERE clause injection
37226,error_based,oracle,0.95,Oracle xmltype extraction
37227,error_based,oracle,0.95,Oracle xmltype extraction
37228,error_based,oracle,0.95,Oracle xmltype extraction
37229,error_based,postgresql,0.85,PostgreSQL cast extraction
