row_index,sqli_type,db_engine,confidence,reasoning
11880,benign,generic,0.9,not_sql_injection
11881,benign,generic,0.9,not_sql_injection
11882,benign,generic,0.9,not_sql_injection
11883,benign,generic,0.9,not_sql_injection
11884,benign,generic,0.9,not_sql_injection
11885,benign,generic,0.9,not_sql_injection
11886,benign,generic,0.9,not_sql_injection
11887,benign,generic,0.9,not_sql_injection
11888,benign,generic,0.9,not_sql_injection
11889,benign,generic,0.9,not_sql_injection
11890,benign,generic,0.9,not_sql_injection
11891,benign,generic,0.9,not_sql_injection
11892,benign,generic,0.9,not_sql_injection
11893,benign,generic,0.9,not_sql_injection
11894,benign,generic,0.9,not_sql_injection
11895,benign,generic,0.9,not_sql_injection
11896,benign,generic,0.9,not_sql_injection
11897,benign,generic,0.9,not_sql_injection
11898,benign,generic,0.9,not_sql_injection
11899,benign,generic,0.9,not_sql_injection
11900,benign,generic,0.9,not_sql_injection
11901,benign,generic,0.9,not_sql_injection
11902,benign,generic,0.9,not_sql_injection
11903,benign,generic,0.9,not_sql_injection
11904,benign,generic,0.9,not_sql_injection
11905,benign,generic,0.9,not_sql_injection
11906,benign,generic,0.9,not_sql_injection
11907,benign,generic,0.9,not_sql_injection
11908,benign,generic,0.9,not_sql_injection
11909,benign,generic,0.9,not_sql_injection
