row_index,sqli_type,db_engine,confidence,reasoning
19890,benign,mysql,0.9,not_sql_injection
19891,benign,mysql,0.9,not_sql_injection
19892,benign,mysql,0.9,not_sql_injection
19893,benign,mysql,0.9,not_sql_injection
19894,benign,mysql,0.9,not_sql_injection
19895,benign,mysql,0.9,not_sql_injection
19896,benign,mysql,0.9,not_sql_injection
19897,benign,mysql,0.9,not_sql_injection
19898,benign,mysql,0.9,not_sql_injection
19899,benign,mysql,0.9,not_sql_injection
19900,benign,mysql,0.9,not_sql_injection
19901,benign,mysql,0.9,not_sql_injection
19902,benign,mysql,0.9,not_sql_injection
19903,benign,mysql,0.9,not_sql_injection
19904,benign,mysql,0.9,not_sql_injection
19905,benign,mysql,0.9,not_sql_injection
19906,benign,mysql,0.9,not_sql_injection
19907,benign,mysql,0.9,not_sql_injection
19908,benign,mysql,0.9,not_sql_injection
19909,benign,mysql,0.9,not_sql_injection
19910,benign,mysql,0.9,not_sql_injection
19911,benign,mysql,0.9,not_sql_injection
19912,benign,mysql,0.9,not_sql_injection
19913,benign,mysql,0.9,not_sql_injection
19914,benign,mysql,0.9,not_sql_injection
19915,benign,mysql,0.9,not_sql_injection
19916,benign,mysql,0.9,not_sql_injection
19917,benign,mysql,0.9,not_sql_injection
19918,benign,mysql,0.9,not_sql_injection
19919,benign,mysql,0.9,not_sql_injection
