row_index,sqli_type,db_engine,confidence,reasoning
15690,benign,generic,0.9,not_sql_injection
15691,benign,generic,0.9,not_sql_injection
15692,benign,generic,0.9,not_sql_injection
15693,benign,generic,0.9,not_sql_injection
15694,benign,generic,0.9,not_sql_injection
15695,benign,generic,0.9,not_sql_injection
15696,benign,generic,0.9,not_sql_injection
15697,benign,generic,0.9,not_sql_injection
15698,benign,generic,0.9,not_sql_injection
15699,benign,generic,0.9,not_sql_injection
15700,benign,generic,0.9,not_sql_injection
15701,benign,generic,0.9,not_sql_injection
15702,benign,generic,0.9,not_sql_injection
15703,benign,generic,0.9,not_sql_injection
15704,benign,generic,0.9,not_sql_injection
15705,benign,generic,0.9,not_sql_injection
15706,benign,generic,0.9,not_sql_injection
15707,benign,generic,0.9,not_sql_injection
15708,benign,generic,0.9,not_sql_injection
15709,benign,generic,0.9,not_sql_injection
15710,benign,generic,0.9,not_sql_injection
15711,benign,generic,0.9,not_sql_injection
15712,benign,generic,0.9,not_sql_injection
15713,benign,generic,0.9,not_sql_injection
15714,benign,generic,0.9,not_sql_injection
15715,benign,generic,0.9,not_sql_injection
15716,benign,generic,0.9,not_sql_injection
15717,benign,generic,0.9,not_sql_injection
15718,benign,generic,0.9,not_sql_injection
15719,benign,generic,0.9,not_sql_injection
